country,region,rank,score,gdp,support,health,freedom,generosity,corruption,year
Romania,Central and Eastern Europe,52,5.945000,1.116000,1.219000,0.726000,0.528000,0.088000,0.001000,2018
Latvia,Central and Eastern Europe,53,5.933000,1.148000,1.454000,0.671000,0.363000,0.092000,0.066000,2018
Japan,Eastern Asia,54,5.915000,1.294000,1.462000,0.988000,0.553000,0.079000,0.150000,2018
Mauritius,Sub-Saharan Africa,55,5.891000,1.090000,1.387000,0.684000,0.584000,0.245000,0.050000,2018
Jamaica,Latin America and Caribbean,56,5.890000,0.819000,1.493000,0.693000,0.575000,0.096000,0.031000,2018
South Korea,Eastern Asia,57,5.875000,1.266000,1.204000,0.955000,0.244000,0.175000,0.051000,2018
Northern Cyprus,Other,58,5.835000,1.229000,1.211000,0.909000,0.495000,0.179000,0.154000,2018
Russia,Central and Eastern Europe,59,5.810000,1.151000,1.479000,0.599000,0.399000,0.065000,0.025000,2018
Kazakhstan,Central and Eastern Europe,60,5.790000,1.143000,1.516000,0.631000,0.454000,0.148000,0.121000,2018
Cyprus,Western Europe,61,5.762000,1.229000,1.191000,0.909000,0.423000,0.202000,0.035000,2018
Bolivia,Latin America and Caribbean,62,5.752000,0.751000,1.223000,0.508000,0.606000,0.141000,0.054000,2018
Estonia,Central and Eastern Europe,63,5.739000,1.200000,1.532000,0.737000,0.553000,0.086000,0.174000,2018
Paraguay,Latin America and Caribbean,64,5.681000,0.835000,1.522000,0.615000,0.541000,0.162000,0.074000,2018
Peru,Latin America and Caribbean,65,5.663000,0.934000,1.249000,0.674000,0.530000,0.092000,0.034000,2018
Kosovo,Central and Eastern Europe,66,5.662000,0.855000,1.230000,0.578000,0.448000,0.274000,0.023000,2018
Moldova,Central and Eastern Europe,67,5.640000,0.657000,1.301000,0.620000,0.232000,0.171000,0.000000,2018
Turkmenistan,Central and Eastern Europe,68,5.636000,1.016000,1.533000,0.517000,0.417000,0.199000,0.037000,2018
Hungary,Central and Eastern Europe,69,5.620000,1.171000,1.401000,0.732000,0.259000,0.061000,0.022000,2018
Libya,Middle East and Northern Africa,70,5.566000,0.985000,1.350000,0.553000,0.496000,0.116000,0.148000,2018
Philippines,Southeastern Asia,71,5.524000,0.775000,1.312000,0.513000,0.643000,0.120000,0.105000,2018
Honduras,Latin America and Caribbean,72,5.504000,0.620000,1.205000,0.622000,0.459000,0.197000,0.074000,2018
Belarus,Central and Eastern Europe,73,5.483000,1.039000,1.498000,0.700000,0.307000,0.101000,0.154000,2018
Turkey,Middle East and Northern Africa,74,5.483000,1.148000,1.380000,0.686000,0.324000,0.106000,0.109000,2018
Pakistan,Southern Asia,75,5.472000,0.652000,0.810000,0.424000,0.334000,0.216000,0.113000,2018
Hong Kong,Eastern Asia,76,5.430000,1.405000,1.290000,1.030000,0.524000,0.246000,0.291000,2018
Portugal,Western Europe,77,5.410000,1.188000,1.429000,0.884000,0.562000,0.055000,0.017000,2018
Serbia,Central and Eastern Europe,78,5.398000,0.975000,1.369000,0.685000,0.288000,0.134000,0.043000,2018
Greece,Western Europe,79,5.358000,1.154000,1.202000,0.879000,0.131000,0.000000,0.044000,2018
Lebanon,Middle East and Northern Africa,80,5.358000,0.965000,1.179000,0.785000,0.503000,0.214000,0.136000,2018
Montenegro,Central and Eastern Europe,81,5.347000,1.017000,1.279000,0.729000,0.259000,0.111000,0.081000,2018
Croatia,Central and Eastern Europe,82,5.321000,1.115000,1.161000,0.737000,0.380000,0.120000,0.039000,2018
Dominican Republic,Latin America and Caribbean,83,5.302000,0.982000,1.441000,0.614000,0.578000,0.120000,0.106000,2018
Algeria,Middle East and Northern Africa,84,5.295000,0.979000,1.154000,0.687000,0.077000,0.055000,0.135000,2018
Morocco,Middle East and Northern Africa,85,5.254000,0.779000,0.797000,0.669000,0.460000,0.026000,0.074000,2018
China,Eastern Asia,86,5.246000,0.989000,1.142000,0.799000,0.597000,0.029000,0.103000,2018
Azerbaijan,Central and Eastern Europe,87,5.201000,1.024000,1.161000,0.603000,0.430000,0.031000,0.176000,2018
Tajikistan,Central and Eastern Europe,88,5.199000,0.474000,1.166000,0.598000,0.292000,0.187000,0.034000,2018
Macedonia,Central and Eastern Europe,89,5.185000,0.959000,1.239000,0.691000,0.394000,0.173000,0.052000,2018
Jordan,Middle East and Northern Africa,90,5.161000,0.822000,1.265000,0.645000,0.468000,0.130000,0.134000,2018
Nigeria,Sub-Saharan Africa,91,5.155000,0.689000,1.172000,0.048000,0.462000,0.201000,0.032000,2018
Kyrgyzstan,Central and Eastern Europe,92,5.131000,0.530000,1.416000,0.594000,0.540000,0.281000,0.035000,2018
Bosnia and Herzegovina,Central and Eastern Europe,93,5.129000,0.915000,1.078000,0.758000,0.280000,0.216000,0.000000,2018
Mongolia,Eastern Asia,94,5.125000,0.914000,1.517000,0.575000,0.395000,0.253000,0.032000,2018
Vietnam,Southeastern Asia,95,5.103000,0.715000,1.365000,0.702000,0.618000,0.177000,0.079000,2018
Indonesia,Southeastern Asia,96,5.093000,0.899000,1.215000,0.522000,0.538000,0.484000,0.018000,2018
Bhutan,Southern Asia,97,5.082000,0.796000,1.335000,0.527000,0.541000,0.364000,0.171000,2018
Somalia,Sub-Saharan Africa,98,4.982000,0.000000,0.712000,0.115000,0.674000,0.238000,0.282000,2018
Cameroon,Sub-Saharan Africa,99,4.975000,0.535000,0.891000,0.182000,0.454000,0.183000,0.043000,2018
Bulgaria,Central and Eastern Europe,100,4.933000,1.054000,1.515000,0.712000,0.359000,0.064000,0.009000,2018
Nepal,Southern Asia,101,4.880000,0.425000,1.228000,0.539000,0.526000,0.302000,0.078000,2018
Venezuela,Latin America and Caribbean,102,4.806000,0.996000,1.469000,0.657000,0.133000,0.056000,0.052000,2018
Gabon,Sub-Saharan Africa,103,4.758000,1.036000,1.164000,0.404000,0.356000,0.032000,0.052000,2018
Palestinian Territories,Middle East and Northern Africa,104,4.743000,0.642000,1.217000,0.602000,0.266000,0.086000,0.076000,2018
South Africa,Sub-Saharan Africa,105,4.724000,0.940000,1.410000,0.330000,0.516000,0.103000,0.056000,2018
Iran,Middle East and Northern Africa,106,4.707000,1.059000,0.771000,0.691000,0.459000,0.282000,0.129000,2018
Ivory Coast,Sub-Saharan Africa,107,4.671000,0.541000,0.872000,0.080000,0.467000,0.146000,0.103000,2018
Ghana,Sub-Saharan Africa,108,4.657000,0.592000,0.896000,0.337000,0.499000,0.212000,0.029000,2018
Senegal,Sub-Saharan Africa,109,4.631000,0.429000,1.117000,0.433000,0.406000,0.138000,0.082000,2018
Laos,Southeastern Asia,110,4.623000,0.720000,1.034000,0.441000,0.626000,0.230000,0.174000,2018
Tunisia,Middle East and Northern Africa,111,4.592000,0.900000,0.906000,0.690000,0.271000,0.040000,0.063000,2018
Albania,Central and Eastern Europe,112,4.586000,0.916000,0.817000,0.790000,0.419000,0.149000,0.032000,2018
Sierra Leone,Sub-Saharan Africa,113,4.571000,0.256000,0.813000,0.000000,0.355000,0.238000,0.053000,2018
Congo (Brazzaville),Sub-Saharan Africa,114,4.559000,0.682000,0.811000,0.343000,0.514000,0.091000,0.077000,2018
Bangladesh,Southern Asia,115,4.500000,0.532000,0.850000,0.579000,0.580000,0.153000,0.144000,2018
Sri Lanka,Southern Asia,116,4.471000,0.918000,1.314000,0.672000,0.585000,0.307000,0.050000,2018
Iraq,Middle East and Northern Africa,117,4.456000,1.010000,0.971000,0.536000,0.304000,0.148000,0.095000,2018
Mali,Sub-Saharan Africa,118,4.447000,0.370000,1.233000,0.152000,0.367000,0.139000,0.056000,2018
Namibia,Sub-Saharan Africa,119,4.441000,0.874000,1.281000,0.365000,0.519000,0.051000,0.064000,2018
Cambodia,Southeastern Asia,120,4.433000,0.549000,1.088000,0.457000,0.696000,0.256000,0.065000,2018
Burkina Faso,Sub-Saharan Africa,121,4.424000,0.314000,1.097000,0.254000,0.312000,0.175000,0.128000,2018
Egypt,Middle East and Northern Africa,122,4.419000,0.885000,1.025000,0.553000,0.312000,0.092000,0.107000,2018
Mozambique,Sub-Saharan Africa,123,4.417000,0.198000,0.902000,0.173000,0.531000,0.206000,0.158000,2018
Kenya,Sub-Saharan Africa,124,4.410000,0.493000,1.048000,0.454000,0.504000,0.352000,0.055000,2018
Zambia,Sub-Saharan Africa,125,4.377000,0.562000,1.047000,0.295000,0.503000,0.221000,0.082000,2018
Mauritania,Sub-Saharan Africa,126,4.356000,0.557000,1.245000,0.292000,0.129000,0.134000,0.093000,2018
Ethiopia,Sub-Saharan Africa,127,4.350000,0.308000,0.950000,0.391000,0.452000,0.220000,0.146000,2018
Georgia,Central and Eastern Europe,128,4.340000,0.853000,0.592000,0.643000,0.375000,0.038000,0.215000,2018
Armenia,Central and Eastern Europe,129,4.321000,0.816000,0.990000,0.666000,0.260000,0.077000,0.028000,2018
Myanmar,Southeastern Asia,130,4.308000,0.682000,1.174000,0.429000,0.580000,0.598000,0.178000,2018
Chad,Sub-Saharan Africa,131,4.301000,0.358000,0.907000,0.053000,0.189000,0.181000,0.060000,2018
Congo (Kinshasa),Sub-Saharan Africa,132,4.245000,0.069000,1.136000,0.204000,0.312000,0.197000,0.052000,2018
India,Southern Asia,133,4.190000,0.721000,0.747000,0.485000,0.539000,0.172000,0.093000,2018
Niger,Sub-Saharan Africa,134,4.166000,0.131000,0.867000,0.221000,0.390000,0.175000,0.099000,2018
Uganda,Sub-Saharan Africa,135,4.161000,0.322000,1.090000,0.237000,0.450000,0.259000,0.061000,2018
Benin,Sub-Saharan Africa,136,4.141000,0.378000,0.372000,0.240000,0.440000,0.163000,0.067000,2018
Sudan,Sub-Saharan Africa,137,4.139000,0.605000,1.240000,0.312000,0.016000,0.134000,0.082000,2018
Ukraine,Central and Eastern Europe,138,4.103000,0.793000,1.413000,0.609000,0.163000,0.187000,0.011000,2018
Togo,Sub-Saharan Africa,139,3.999000,0.259000,0.474000,0.253000,0.434000,0.158000,0.101000,2018
Guinea,Sub-Saharan Africa,140,3.964000,0.344000,0.792000,0.211000,0.394000,0.185000,0.094000,2018
Lesotho,Sub-Saharan Africa,141,3.808000,0.472000,1.215000,0.079000,0.423000,0.116000,0.112000,2018
Angola,Sub-Saharan Africa,142,3.795000,0.730000,1.125000,0.269000,0.000000,0.079000,0.061000,2018
Madagascar,Sub-Saharan Africa,143,3.774000,0.262000,0.908000,0.402000,0.221000,0.155000,0.049000,2018
Zimbabwe,Sub-Saharan Africa,144,3.692000,0.357000,1.094000,0.248000,0.406000,0.132000,0.099000,2018
Afghanistan,Southern Asia,145,3.632000,0.332000,0.537000,0.255000,0.085000,0.191000,0.036000,2018
Botswana,Sub-Saharan Africa,146,3.590000,1.017000,1.174000,0.417000,0.557000,0.042000,0.092000,2018
Malawi,Sub-Saharan Africa,147,3.587000,0.186000,0.541000,0.306000,0.531000,0.210000,0.080000,2018
Haiti,Latin America and Caribbean,148,3.582000,0.315000,0.714000,0.289000,0.025000,0.392000,0.104000,2018
Liberia,Sub-Saharan Africa,149,3.495000,0.076000,0.858000,0.267000,0.419000,0.206000,0.030000,2018
Syria,Middle East and Northern Africa,150,3.462000,0.689000,0.382000,0.539000,0.088000,0.376000,0.144000,2018
Rwanda,Sub-Saharan Africa,151,3.408000,0.332000,0.896000,0.400000,0.636000,0.200000,0.444000,2018
Yemen,Middle East and Northern Africa,152,3.355000,0.442000,1.073000,0.343000,0.244000,0.083000,0.064000,2018
Tanzania,Sub-Saharan Africa,153,3.303000,0.455000,0.991000,0.381000,0.481000,0.270000,0.097000,2018
South Sudan,Sub-Saharan Africa,154,3.254000,0.337000,0.608000,0.177000,0.112000,0.224000,0.106000,2018
Central African Republic,Sub-Saharan Africa,155,3.083000,0.024000,0.000000,0.010000,0.305000,0.218000,0.038000,2018
Burundi,Sub-Saharan Africa,156,2.905000,0.091000,0.627000,0.145000,0.065000,0.149000,0.076000,2018
Finland,Western Europe,1,7.769000,1.340000,1.587000,0.986000,0.596000,0.153000,0.393000,2019
Denmark,Western Europe,2,7.600000,1.383000,1.573000,0.996000,0.592000,0.252000,0.410000,2019
Norway,Western Europe,3,7.554000,1.488000,1.582000,1.028000,0.603000,0.271000,0.341000,2019
Iceland,Western Europe,4,7.494000,1.380000,1.624000,1.026000,0.591000,0.354000,0.118000,2019
Netherlands,Western Europe,5,7.488000,1.396000,1.522000,0.999000,0.557000,0.322000,0.298000,2019
Switzerland,Western Europe,6,7.480000,1.452000,1.526000,1.052000,0.572000,0.263000,0.343000,2019
Sweden,Western Europe,7,7.343000,1.387000,1.487000,1.009000,0.574000,0.267000,0.373000,2019
New Zealand,Australia and New Zealand,8,7.307000,1.303000,1.557000,1.026000,0.585000,0.330000,0.380000,2019
Canada,North America,9,7.278000,1.365000,1.505000,1.039000,0.584000,0.285000,0.308000,2019
Austria,Western Europe,10,7.246000,1.376000,1.475000,1.016000,0.532000,0.244000,0.226000,2019
Australia,Australia and New Zealand,11,7.228000,1.372000,1.548000,1.036000,0.557000,0.332000,0.290000,2019
Costa Rica,Latin America and Caribbean,12,7.167000,1.034000,1.441000,0.963000,0.558000,0.144000,0.093000,2019
Israel,Middle East and Northern Africa,13,7.139000,1.276000,1.455000,1.029000,0.371000,0.261000,0.082000,2019
Luxembourg,Western Europe,14,7.090000,1.609000,1.479000,1.012000,0.526000,0.194000,0.316000,2019
United Kingdom,Western Europe,15,7.054000,1.333000,1.538000,0.996000,0.450000,0.348000,0.278000,2019
Ireland,Western Europe,16,7.021000,1.499000,1.553000,0.999000,0.516000,0.298000,0.310000,2019
Germany,Western Europe,17,6.985000,1.373000,1.454000,0.987000,0.495000,0.261000,0.265000,2019
Belgium,Western Europe,18,6.923000,1.356000,1.504000,0.986000,0.473000,0.160000,0.210000,2019
United States,North America,19,6.892000,1.433000,1.457000,0.874000,0.454000,0.280000,0.128000,2019
Czech Republic,Central and Eastern Europe,20,6.852000,1.269000,1.487000,0.920000,0.457000,0.046000,0.036000,2019
United Arab Emirates,Middle East and Northern Africa,21,6.825000,1.503000,1.310000,0.825000,0.598000,0.262000,0.182000,2019
Malta,Western Europe,22,6.726000,1.300000,1.520000,0.999000,0.564000,0.375000,0.151000,2019
Mexico,Latin America and Caribbean,23,6.595000,1.070000,1.323000,0.861000,0.433000,0.074000,0.073000,2019
France,Western Europe,24,6.592000,1.324000,1.472000,1.045000,0.436000,0.111000,0.183000,2019
Taiwan,Eastern Asia,25,6.446000,1.368000,1.430000,0.914000,0.351000,0.242000,0.097000,2019
Chile,Latin America and Caribbean,26,6.444000,1.159000,1.369000,0.920000,0.357000,0.187000,0.056000,2019
Guatemala,Latin America and Caribbean,27,6.436000,0.800000,1.269000,0.746000,0.535000,0.175000,0.078000,2019
Saudi Arabia,Middle East and Northern Africa,28,6.375000,1.403000,1.357000,0.795000,0.439000,0.080000,0.132000,2019
Qatar,Middle East and Northern Africa,29,6.374000,1.684000,1.313000,0.871000,0.555000,0.220000,0.167000,2019
Spain,Western Europe,30,6.354000,1.286000,1.484000,1.062000,0.362000,0.153000,0.079000,2019
Panama,Latin America and Caribbean,31,6.321000,1.149000,1.442000,0.910000,0.516000,0.109000,0.054000,2019
Brazil,Latin America and Caribbean,32,6.300000,1.004000,1.439000,0.802000,0.390000,0.099000,0.086000,2019
Uruguay,Latin America and Caribbean,33,6.293000,1.124000,1.465000,0.891000,0.523000,0.127000,0.150000,2019
Singapore,Southeastern Asia,34,6.262000,1.572000,1.463000,1.141000,0.556000,0.271000,0.453000,2019
El Salvador,Latin America and Caribbean,35,6.253000,0.794000,1.242000,0.789000,0.430000,0.093000,0.074000,2019
Italy,Western Europe,36,6.223000,1.294000,1.488000,1.039000,0.231000,0.158000,0.030000,2019
Bahrain,Middle East and Northern Africa,37,6.199000,1.362000,1.368000,0.871000,0.536000,0.255000,0.110000,2019
Slovakia,Central and Eastern Europe,38,6.198000,1.246000,1.504000,0.881000,0.334000,0.121000,0.014000,2019
Trinidad and Tobago,Other,39,6.192000,1.231000,1.477000,0.713000,0.489000,0.185000,0.016000,2019
Poland,Central and Eastern Europe,40,6.182000,1.206000,1.438000,0.884000,0.483000,0.117000,0.050000,2019
Uzbekistan,Central and Eastern Europe,41,6.174000,0.745000,1.529000,0.756000,0.631000,0.322000,0.240000,2019
Lithuania,Central and Eastern Europe,42,6.149000,1.238000,1.515000,0.818000,0.291000,0.043000,0.042000,2019
Colombia,Latin America and Caribbean,43,6.125000,0.985000,1.410000,0.841000,0.470000,0.099000,0.034000,2019
Slovenia,Central and Eastern Europe,44,6.118000,1.258000,1.523000,0.953000,0.564000,0.144000,0.057000,2019
Nicaragua,Latin America and Caribbean,45,6.105000,0.694000,1.325000,0.835000,0.435000,0.200000,0.127000,2019
Kosovo,Central and Eastern Europe,46,6.100000,0.882000,1.232000,0.758000,0.489000,0.262000,0.006000,2019
Argentina,Latin America and Caribbean,47,6.086000,1.092000,1.432000,0.881000,0.471000,0.066000,0.050000,2019
Romania,Central and Eastern Europe,48,6.070000,1.162000,1.232000,0.825000,0.462000,0.083000,0.005000,2019
Cyprus,Western Europe,49,6.046000,1.263000,1.223000,1.042000,0.406000,0.190000,0.041000,2019
Ecuador,Latin America and Caribbean,50,6.028000,0.912000,1.312000,0.868000,0.498000,0.126000,0.087000,2019
Kuwait,Middle East and Northern Africa,51,6.021000,1.500000,1.319000,0.808000,0.493000,0.142000,0.097000,2019
Thailand,Southeastern Asia,52,6.008000,1.050000,1.409000,0.828000,0.557000,0.359000,0.028000,2019
Latvia,Central and Eastern Europe,53,5.940000,1.187000,1.465000,0.812000,0.264000,0.075000,0.064000,2019
South Korea,Eastern Asia,54,5.895000,1.301000,1.219000,1.036000,0.159000,0.175000,0.056000,2019
Estonia,Central and Eastern Europe,55,5.893000,1.237000,1.528000,0.874000,0.495000,0.103000,0.161000,2019
Jamaica,Latin America and Caribbean,56,5.890000,0.831000,1.478000,0.831000,0.490000,0.107000,0.028000,2019
Mauritius,Sub-Saharan Africa,57,5.888000,1.120000,1.402000,0.798000,0.498000,0.215000,0.060000,2019
Japan,Eastern Asia,58,5.886000,1.327000,1.419000,1.088000,0.445000,0.069000,0.140000,2019
Honduras,Latin America and Caribbean,59,5.860000,0.642000,1.236000,0.828000,0.507000,0.246000,0.078000,2019
Kazakhstan,Central and Eastern Europe,60,5.809000,1.173000,1.508000,0.729000,0.410000,0.146000,0.096000,2019
Bolivia,Latin America and Caribbean,61,5.779000,0.776000,1.209000,0.706000,0.511000,0.137000,0.064000,2019
Hungary,Central and Eastern Europe,62,5.758000,1.201000,1.410000,0.828000,0.199000,0.081000,0.020000,2019
Paraguay,Latin America and Caribbean,63,5.743000,0.855000,1.475000,0.777000,0.514000,0.184000,0.080000,2019
Northern Cyprus,Other,64,5.718000,1.263000,1.252000,1.042000,0.417000,0.191000,0.162000,2019
Peru,Latin America and Caribbean,65,5.697000,0.960000,1.274000,0.854000,0.455000,0.083000,0.027000,2019
Portugal,Western Europe,66,5.693000,1.221000,1.431000,0.999000,0.508000,0.047000,0.025000,2019
Pakistan,Southern Asia,67,5.653000,0.677000,0.886000,0.535000,0.313000,0.220000,0.098000,2019
Russia,Central and Eastern Europe,68,5.648000,1.183000,1.452000,0.726000,0.334000,0.082000,0.031000,2019
Philippines,Southeastern Asia,69,5.631000,0.807000,1.293000,0.657000,0.558000,0.117000,0.107000,2019
Serbia,Central and Eastern Europe,70,5.603000,1.004000,1.383000,0.854000,0.282000,0.137000,0.039000,2019
Moldova,Central and Eastern Europe,71,5.529000,0.685000,1.328000,0.739000,0.245000,0.181000,0.000000,2019
Libya,Middle East and Northern Africa,72,5.525000,1.044000,1.303000,0.673000,0.416000,0.133000,0.152000,2019
Montenegro,Central and Eastern Europe,73,5.523000,1.051000,1.361000,0.871000,0.197000,0.142000,0.080000,2019
Tajikistan,Central and Eastern Europe,74,5.467000,0.493000,1.098000,0.718000,0.389000,0.230000,0.144000,2019
Croatia,Central and Eastern Europe,75,5.432000,1.155000,1.266000,0.914000,0.296000,0.119000,0.022000,2019
Hong Kong,Eastern Asia,76,5.430000,1.438000,1.277000,1.122000,0.440000,0.258000,0.287000,2019
Dominican Republic,Latin America and Caribbean,77,5.425000,1.015000,1.401000,0.779000,0.497000,0.113000,0.101000,2019
Bosnia and Herzegovina,Central and Eastern Europe,78,5.386000,0.945000,1.212000,0.845000,0.212000,0.263000,0.006000,2019
Turkey,Middle East and Northern Africa,79,5.373000,1.183000,1.360000,0.808000,0.195000,0.083000,0.106000,2019
Malaysia,Southeastern Asia,80,5.339000,1.221000,1.171000,0.828000,0.508000,0.260000,0.024000,2019
Belarus,Central and Eastern Europe,81,5.323000,1.067000,1.465000,0.789000,0.235000,0.094000,0.142000,2019
Greece,Western Europe,82,5.287000,1.181000,1.156000,0.999000,0.067000,0.000000,0.034000,2019
Mongolia,Eastern Asia,83,5.285000,0.948000,1.531000,0.667000,0.317000,0.235000,0.038000,2019
North Macedonia,Other,84,5.274000,0.983000,1.294000,0.838000,0.345000,0.185000,0.034000,2019
Nigeria,Sub-Saharan Africa,85,5.265000,0.696000,1.111000,0.245000,0.426000,0.215000,0.041000,2019
Kyrgyzstan,Central and Eastern Europe,86,5.261000,0.551000,1.438000,0.723000,0.508000,0.300000,0.023000,2019
Turkmenistan,Central and Eastern Europe,87,5.247000,1.052000,1.538000,0.657000,0.394000,0.244000,0.028000,2019
Algeria,Middle East and Northern Africa,88,5.211000,1.002000,1.160000,0.785000,0.086000,0.073000,0.114000,2019
Morocco,Middle East and Northern Africa,89,5.208000,0.801000,0.782000,0.782000,0.418000,0.036000,0.076000,2019
Azerbaijan,Central and Eastern Europe,90,5.208000,1.043000,1.147000,0.769000,0.351000,0.035000,0.182000,2019
Lebanon,Middle East and Northern Africa,91,5.197000,0.987000,1.224000,0.815000,0.216000,0.166000,0.027000,2019
Indonesia,Southeastern Asia,92,5.192000,0.931000,1.203000,0.660000,0.491000,0.498000,0.028000,2019
China,Eastern Asia,93,5.191000,1.029000,1.125000,0.893000,0.521000,0.058000,0.100000,2019
Vietnam,Southeastern Asia,94,5.175000,0.741000,1.346000,0.851000,0.543000,0.147000,0.073000,2019
Bhutan,Southern Asia,95,5.082000,0.813000,1.321000,0.604000,0.457000,0.370000,0.167000,2019
Cameroon,Sub-Saharan Africa,96,5.044000,0.549000,0.910000,0.331000,0.381000,0.187000,0.037000,2019
Bulgaria,Central and Eastern Europe,97,5.011000,1.092000,1.513000,0.815000,0.311000,0.081000,0.004000,2019
Ghana,Sub-Saharan Africa,98,4.996000,0.611000,0.868000,0.486000,0.381000,0.245000,0.040000,2019
Ivory Coast,Sub-Saharan Africa,99,4.944000,0.569000,0.808000,0.232000,0.352000,0.154000,0.090000,2019
Nepal,Southern Asia,100,4.913000,0.446000,1.226000,0.677000,0.439000,0.285000,0.089000,2019
Jordan,Middle East and Northern Africa,101,4.906000,0.837000,1.225000,0.815000,0.383000,0.110000,0.130000,2019
Benin,Sub-Saharan Africa,102,4.883000,0.393000,0.437000,0.397000,0.349000,0.175000,0.082000,2019
Congo (Brazzaville),Sub-Saharan Africa,103,4.812000,0.673000,0.799000,0.508000,0.372000,0.105000,0.093000,2019
Gabon,Sub-Saharan Africa,104,4.799000,1.057000,1.183000,0.571000,0.295000,0.043000,0.055000,2019
Laos,Southeastern Asia,105,4.796000,0.764000,1.030000,0.551000,0.547000,0.266000,0.164000,2019
South Africa,Sub-Saharan Africa,106,4.722000,0.960000,1.351000,0.469000,0.389000,0.130000,0.055000,2019
Albania,Central and Eastern Europe,107,4.719000,0.947000,0.848000,0.874000,0.383000,0.178000,0.027000,2019
Venezuela,Latin America and Caribbean,108,4.707000,0.960000,1.427000,0.805000,0.154000,0.064000,0.047000,2019
Cambodia,Southeastern Asia,109,4.700000,0.574000,1.122000,0.637000,0.609000,0.232000,0.062000,2019
Palestinian Territories,Middle East and Northern Africa,110,4.696000,0.657000,1.247000,0.672000,0.225000,0.103000,0.066000,2019
Senegal,Sub-Saharan Africa,111,4.681000,0.450000,1.134000,0.571000,0.292000,0.153000,0.072000,2019
Somalia,Sub-Saharan Africa,112,4.668000,0.000000,0.698000,0.268000,0.559000,0.243000,0.270000,2019
Namibia,Sub-Saharan Africa,113,4.639000,0.879000,1.313000,0.477000,0.401000,0.070000,0.056000,2019
Niger,Sub-Saharan Africa,114,4.628000,0.138000,0.774000,0.366000,0.318000,0.188000,0.102000,2019
Burkina Faso,Sub-Saharan Africa,115,4.587000,0.331000,1.056000,0.380000,0.255000,0.177000,0.113000,2019
Armenia,Central and Eastern Europe,116,4.559000,0.850000,1.055000,0.815000,0.283000,0.095000,0.064000,2019
Iran,Middle East and Northern Africa,117,4.548000,1.100000,0.842000,0.785000,0.305000,0.270000,0.125000,2019
Guinea,Sub-Saharan Africa,118,4.534000,0.380000,0.829000,0.375000,0.332000,0.207000,0.086000,2019
Georgia,Central and Eastern Europe,119,4.519000,0.886000,0.666000,0.752000,0.346000,0.043000,0.164000,2019
Gambia,Other,120,4.516000,0.308000,0.939000,0.428000,0.382000,0.269000,0.167000,2019
Kenya,Sub-Saharan Africa,121,4.509000,0.512000,0.983000,0.581000,0.431000,0.372000,0.053000,2019
Mauritania,Sub-Saharan Africa,122,4.490000,0.570000,1.167000,0.489000,0.066000,0.106000,0.088000,2019
Mozambique,Sub-Saharan Africa,123,4.466000,0.204000,0.986000,0.390000,0.494000,0.197000,0.138000,2019
Tunisia,Middle East and Northern Africa,124,4.461000,0.921000,1.000000,0.815000,0.167000,0.059000,0.055000,2019
Bangladesh,Southern Asia,125,4.456000,0.562000,0.928000,0.723000,0.527000,0.166000,0.143000,2019
Iraq,Middle East and Northern Africa,126,4.437000,1.043000,0.980000,0.574000,0.241000,0.148000,0.089000,2019
Congo (Kinshasa),Sub-Saharan Africa,127,4.418000,0.094000,1.125000,0.357000,0.269000,0.212000,0.053000,2019
Mali,Sub-Saharan Africa,128,4.390000,0.385000,1.105000,0.308000,0.327000,0.153000,0.052000,2019
Sierra Leone,Sub-Saharan Africa,129,4.374000,0.268000,0.841000,0.242000,0.309000,0.252000,0.045000,2019
Sri Lanka,Southern Asia,130,4.366000,0.949000,1.265000,0.831000,0.470000,0.244000,0.047000,2019
Myanmar,Southeastern Asia,131,4.360000,0.710000,1.181000,0.555000,0.525000,0.566000,0.172000,2019
Chad,Sub-Saharan Africa,132,4.350000,0.350000,0.766000,0.192000,0.174000,0.198000,0.078000,2019
Ukraine,Central and Eastern Europe,133,4.332000,0.820000,1.390000,0.739000,0.178000,0.187000,0.010000,2019
Ethiopia,Sub-Saharan Africa,134,4.286000,0.336000,1.033000,0.532000,0.344000,0.209000,0.100000,2019
Swaziland,Sub-Saharan Africa,135,4.212000,0.811000,1.149000,0.000000,0.313000,0.074000,0.135000,2019
Uganda,Sub-Saharan Africa,136,4.189000,0.332000,1.069000,0.443000,0.356000,0.252000,0.060000,2019
Egypt,Middle East and Northern Africa,137,4.166000,0.913000,1.039000,0.644000,0.241000,0.076000,0.067000,2019
Zambia,Sub-Saharan Africa,138,4.107000,0.578000,1.058000,0.426000,0.431000,0.247000,0.087000,2019
Togo,Sub-Saharan Africa,139,4.085000,0.275000,0.572000,0.410000,0.293000,0.177000,0.085000,2019
India,Southern Asia,140,4.015000,0.755000,0.765000,0.588000,0.498000,0.200000,0.085000,2019
Liberia,Sub-Saharan Africa,141,3.975000,0.073000,0.922000,0.443000,0.370000,0.233000,0.033000,2019
Comoros,Sub-Saharan Africa,142,3.973000,0.274000,0.757000,0.505000,0.142000,0.275000,0.078000,2019
Madagascar,Sub-Saharan Africa,143,3.933000,0.274000,0.916000,0.555000,0.148000,0.169000,0.041000,2019
Lesotho,Sub-Saharan Africa,144,3.802000,0.489000,1.169000,0.168000,0.359000,0.107000,0.093000,2019
